,,,Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.,
Position,Track Name,Artist,Streams,URL
1,blun7 a swishland,tha Supreme,3084106,https://open.spotify.com/track/7HwvPmK74MBRDhCIyMXReP
2,fuck 3x,tha Supreme,1957574,https://open.spotify.com/track/5YxP1CkunbhUQVvctFOHa7
3,Dance Monkey,Tones And I,1943487,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
4,Ti volevo dedicare (feat. J-AX & Boomdabash),Rocco Hunt,1605060,https://open.spotify.com/track/00GxbkrW4m1Tac5xySEJ4M
5,SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta),Marracash,1602522,https://open.spotify.com/track/020wG4EHTwBy5h2rbpxqvK
6,RITMO (Bad Boys For Life),Black Eyed Peas,1397402,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
7,CRUDELIA - I nervi,Marracash,1392284,https://open.spotify.com/track/1OeIJITrlUR4qss2kywMEn
8,ANSIA NO,FSK SATELLITE,1348330,https://open.spotify.com/track/2yuYI5NFhevxa05se7Qht9
9,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,1303421,https://open.spotify.com/track/6h5nbfvIJHRNH3oGrNWJwn
10,Soldi in Nero - feat. Sfera Ebbasta,Shiva,1300312,https://open.spotify.com/track/1Xm2e1vDwOMeJJioWuG1s7
11,Tutto Questo Sei Tu,Ultimo,1258096,https://open.spotify.com/track/2JbPEAf12Ju2CxSIoZC89d
12,"CHARLES MANSON (BUON NATALE2) (feat. Lazza) - feat. Dani Faiv, Nitro",Salmo,1152169,https://open.spotify.com/track/4z6l90HzhLLCd0hWddzbrh
13,BRAVI A CADERE - I polmoni,Marracash,1112836,https://open.spotify.com/track/4SpV49wwekArulAVjEez3i
14,Chiasso,Random,1096273,https://open.spotify.com/track/4UJoAdTMnqxQHKWKLLQpvK
15,Holly & Benji (feat. Capo Plaza & Shiva),AVA,1085398,https://open.spotify.com/track/4tchNSV4eZQ9vG4GNA4iJa
16,Falling,Trevor Daniel,1072189,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
17,Memories,Maroon 5,1025915,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
18,Barrio,Mahmood,1001191,https://open.spotify.com/track/1MCSc1ZxlwV5muFXKocAnW
19,sw1n6o - feat. Salmo,tha Supreme,999979,https://open.spotify.com/track/0I26eEAwEoii0wHuFqwhYO
20,Cin Cin,Alfa,995675,https://open.spotify.com/track/1jJMhPp0Rm6lAi077PXeEQ
21,m12ano - feat. Mara Sattei,tha Supreme,992320,https://open.spotify.com/track/0LfMuWu6FKNSDHEoxHu9iK
22,Una volta ancora (feat. Ana Mena),Fred De Palma,961816,https://open.spotify.com/track/6swHvavSroD4ur3Q18MjYz
23,Bossoli,Shiva,945800,https://open.spotify.com/track/5mn8bU8IjYqr8ZqTDmLtSO
24,ROXANNE,Arizona Zervas,938368,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
25,Non Avere Paura,Tommaso Paradiso,937926,https://open.spotify.com/track/1qMx707PFdFXdwLvcUTNz3
26,Ayy Macarena,Tyga,887061,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX
27,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,879614,https://open.spotify.com/track/4KilYheWwxakB1L43ECTeP
28,Don't Start Now,Dua Lipa,874600,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
29,occh1 purpl3 - feat. Marracash,tha Supreme,834600,https://open.spotify.com/track/7gRPkCEa3YMaxET5ZYT7Ni
30,Twerk (con Boro Boro),MamboLosco,827035,https://open.spotify.com/track/4jiCUUfjuJoG03gnw3jj1r
31,Piccola Stella,Ultimo,822385,https://open.spotify.com/track/6sLBJkMyZIkGevtpYgeotT
32,Lento,Boro Boro,776741,https://open.spotify.com/track/0iRKVjfQzpr41T3WsU7shl
33,m8nstar,tha Supreme,774528,https://open.spotify.com/track/3vPXCd0uNm66sbDEDG5Vwd
